MaHoaDon,DiemPhucVu,DiemViTri,DiemChatLuongMonAn,DiemGiaCa,DiemKhongGian,BinhLuan
144398,9,9,7,5,7,Rất hài lòng!
48814,9,7,2,0,5,Không hài lòng!
87385,0,6,10,4,3,Không hài lòng!
100936,2,7,2,1,3,Không hài lòng!
82323,5,6,0,2,7,Không gian chật chội!
44731,8,4,4,1,1,Dịch vụ kém!
109797,2,1,0,9,5,Không ngon!
17323,4,8,4,9,0,Không ngon!
16251,9,1,10,4,8,Dịch vụ tuyệt vời!
16898,4,9,8,5,8,Dịch vụ tuyệt vời!
63812,0,2,7,2,0,Không gian chật chội!
83448,5,4,5,5,0,Dịch vụ kém!
119115,0,3,0,1,7,Dịch vụ kém!
42270,10,3,6,3,1,Không ngon!
56261,6,6,3,10,8,Dịch vụ tuyệt vời!
141042,2,8,4,5,9,Giá quá đắt!
1726,4,2,2,5,4,Giá quá đắt!
108208,3,3,6,6,1,Không ngon!
59501,1,2,4,0,4,Không hài lòng!
104288,4,0,7,7,5,Không ngon!
92895,2,1,8,9,6,Không ngon!
15890,10,6,8,8,5,Giá cả hợp lý!
21035,2,3,0,4,0,Không gian chật chội!
41402,7,3,8,3,10,"Ngon, sẽ quay lại!"
92405,6,3,3,0,3,Dịch vụ kém!
144942,3,2,3,5,1,Không ngon!
113163,8,2,10,7,8,"Ngon, sẽ quay lại!"
37385,4,8,0,3,7,Dịch vụ kém!
144208,6,9,1,9,4,Không gian chật chội!
35850,4,0,8,0,1,Không gian chật chội!
145388,3,9,5,0,8,Không hài lòng!
46979,0,4,10,3,0,Không hài lòng!
20904,10,4,0,10,7,Rất hài lòng!
138887,5,5,10,3,0,Không gian chật chội!
114417,7,8,2,3,7,Không gian chật chội!
120675,0,7,0,3,5,Không hài lòng!
116349,4,1,1,7,7,Không hài lòng!
87639,10,5,0,10,10,Không gian đẹp!
24863,6,4,7,9,3,Không ngon!
82075,6,4,9,9,6,"Ngon, sẽ quay lại!"
34719,6,10,6,10,2,Rất hài lòng!
18310,10,5,8,4,0,Không gian chật chội!
142222,0,1,2,7,0,Dịch vụ kém!
81660,4,6,0,4,7,Không gian chật chội!
51242,4,1,2,9,3,Dịch vụ kém!
135672,0,10,6,1,3,Không gian chật chội!
53832,3,0,1,5,9,Không ngon!
127991,8,2,10,0,3,Dịch vụ kém!
61655,2,6,6,1,4,Giá quá đắt!
10727,6,4,6,8,4,Không hài lòng!
58198,6,4,0,2,4,Không ngon!
8712,3,4,3,5,9,Dịch vụ kém!
80608,3,6,5,9,0,Không hài lòng!
113876,8,0,3,7,4,Không hài lòng!
63561,3,1,2,10,2,Không ngon!
144675,0,0,4,1,9,Không hài lòng!
59902,3,1,3,10,1,Không hài lòng!
145104,3,2,6,9,5,Không hài lòng!
80060,8,2,2,8,1,Không gian chật chội!
115317,4,5,5,10,4,Không ngon!
10309,3,1,2,4,8,Không gian chật chội!
93972,1,1,6,10,2,Không gian chật chội!
106414,5,9,4,4,5,Không ngon!
149054,10,0,2,10,7,Không gian chật chội!
40638,8,2,10,4,6,"Ngon, sẽ quay lại!"
95696,4,6,0,0,5,Không ngon!
32537,0,7,3,4,9,Không gian chật chội!
52457,8,1,2,4,0,Không ngon!
95831,9,8,2,5,10,Dịch vụ tuyệt vời!
133367,4,7,2,2,2,Không hài lòng!
125435,3,0,1,6,2,Không gian chật chội!
16338,5,5,2,10,10,"Ngon, sẽ quay lại!"
54263,4,10,3,4,8,Giá quá đắt!
6772,10,10,3,5,0,Không gian chật chội!
88109,0,7,7,5,10,Dịch vụ kém!
6434,10,6,9,2,8,"Ngon, sẽ quay lại!"
87444,10,10,7,4,10,Giá cả hợp lý!
88250,9,10,1,10,7,Dịch vụ tuyệt vời!
101458,5,8,6,5,10,Giá cả hợp lý!
40037,6,7,0,3,7,Không hài lòng!
290,10,5,7,10,6,Dịch vụ tuyệt vời!
93643,4,4,1,8,2,Không gian chật chội!
43377,0,9,8,7,6,"Ngon, sẽ quay lại!"
90393,9,9,10,5,7,Dịch vụ tuyệt vời!
43013,0,6,1,8,1,Dịch vụ kém!
69209,6,0,8,4,5,Giá quá đắt!
132021,9,1,5,5,0,Giá quá đắt!
102186,0,6,9,4,7,Không ngon!
109251,7,2,0,5,8,Giá quá đắt!
32041,8,10,9,1,9,Rất hài lòng!
80453,7,0,9,5,0,Không hài lòng!
75248,8,4,8,1,3,Không ngon!
29727,9,4,0,0,2,Không hài lòng!
132413,5,10,9,7,3,Rất hài lòng!
62372,3,4,0,0,10,Giá quá đắt!
8642,10,7,3,6,6,Rất hài lòng!
24198,2,0,8,0,8,Không ngon!
112793,5,10,3,9,4,Dịch vụ tuyệt vời!
68392,3,3,4,3,9,Không ngon!
143011,6,4,6,5,9,Rất hài lòng!
15777,1,9,7,6,8,Giá cả hợp lý!
40232,6,3,9,1,4,Dịch vụ kém!
104709,3,5,4,7,2,Không ngon!
82394,7,1,8,6,10,Không gian đẹp!
97779,3,2,2,6,1,Không hài lòng!
100193,9,2,6,6,7,Giá cả hợp lý!
115776,5,7,8,9,5,"Ngon, sẽ quay lại!"
77472,0,9,4,5,10,Không hài lòng!
115474,2,3,7,9,6,Không ngon!
80809,5,6,3,5,5,Giá quá đắt!
78421,1,9,0,2,4,Không ngon!
84400,4,4,5,0,3,Không ngon!
107823,0,9,8,2,6,Giá quá đắt!
67402,5,1,6,7,10,Không ngon!
7101,8,7,9,9,9,Giá cả hợp lý!
112645,1,2,1,0,5,Dịch vụ kém!
18942,9,6,5,4,5,Dịch vụ kém!
10894,1,10,8,1,7,Không ngon!
11133,8,4,9,9,1,"Ngon, sẽ quay lại!"
68054,1,1,6,0,10,Không gian chật chội!
61385,2,1,3,10,7,Không ngon!
97083,0,7,10,4,10,Giá cả hợp lý!
134494,5,5,1,5,5,Không ngon!
49299,6,1,1,0,9,Dịch vụ kém!
24082,4,3,5,7,1,Dịch vụ kém!
109353,1,9,2,0,9,Không gian chật chội!
119129,8,0,0,4,6,Giá quá đắt!
125233,6,8,1,10,9,Giá cả hợp lý!
50180,10,10,3,9,2,Rất hài lòng!
122991,5,9,8,6,3,"Ngon, sẽ quay lại!"
139170,1,2,0,10,6,Không gian chật chội!
13010,3,7,10,1,7,Không ngon!
16714,3,3,9,9,6,Dịch vụ tuyệt vời!
38577,2,0,8,8,5,Không hài lòng!
126113,2,3,6,6,9,Giá quá đắt!
84521,10,0,9,0,0,Không hài lòng!
84249,5,1,6,9,5,Không hài lòng!
52206,6,5,8,1,1,Không ngon!
74510,7,1,10,1,4,Không ngon!
7912,7,8,9,10,3,"Ngon, sẽ quay lại!"
77634,10,10,0,5,7,Rất hài lòng!
139604,4,8,4,7,3,Không hài lòng!
46107,2,7,6,4,9,Không gian chật chội!
61107,5,7,5,3,4,Không gian chật chội!
79569,3,6,5,3,2,Không ngon!
76848,0,5,6,9,4,Không ngon!
11370,9,4,5,7,10,Dịch vụ tuyệt vời!
53701,0,8,1,7,1,Không ngon!
43796,2,10,1,0,10,Không ngon!
74385,3,9,5,5,1,Dịch vụ kém!
105267,0,9,6,9,3,Giá quá đắt!
49677,1,7,3,8,0,Giá quá đắt!
130317,7,2,10,5,0,Dịch vụ kém!
91000,5,4,1,10,0,Không hài lòng!
77823,0,7,4,4,4,Không ngon!
122911,1,3,1,1,3,Không hài lòng!
71091,9,10,5,1,3,Không hài lòng!
35583,10,10,4,8,5,Rất hài lòng!
46504,9,5,8,0,9,Giá cả hợp lý!
35004,4,6,2,10,7,Không ngon!
148043,6,2,3,6,4,Dịch vụ kém!
24726,6,10,4,6,7,"Ngon, sẽ quay lại!"
93918,3,2,7,7,1,Không gian chật chội!
47881,9,8,5,7,10,Dịch vụ tuyệt vời!
532,6,4,10,0,10,Không gian đẹp!
111298,6,8,9,5,10,Không gian đẹp!
48878,4,1,8,8,9,Dịch vụ tuyệt vời!
69851,7,6,4,7,9,Rất hài lòng!
79037,5,9,5,10,5,"Ngon, sẽ quay lại!"
21664,1,10,3,5,0,Dịch vụ kém!
9939,7,5,0,6,7,Không hài lòng!
71619,9,7,7,10,1,Không gian đẹp!
30558,9,2,5,1,1,Giá quá đắt!
81926,2,4,10,10,9,Không gian đẹp!
20838,4,9,7,6,4,Dịch vụ tuyệt vời!
33025,10,3,4,9,9,Giá cả hợp lý!
54230,2,0,9,5,1,Không gian chật chội!
70904,2,7,9,1,2,Không ngon!
15080,3,3,7,3,2,Giá quá đắt!
40701,5,2,0,3,4,Dịch vụ kém!
5820,7,5,1,5,0,Giá quá đắt!
102804,7,4,0,7,0,Giá quá đắt!
68257,9,7,1,3,7,Dịch vụ kém!
49308,5,8,7,6,6,Không gian đẹp!
70822,8,9,4,4,4,Dịch vụ kém!
67529,1,5,9,7,9,Dịch vụ tuyệt vời!
89408,3,3,7,5,0,Giá quá đắt!
97774,9,5,9,5,2,Rất hài lòng!
83398,3,4,8,7,10,"Ngon, sẽ quay lại!"
84280,4,10,5,1,2,Không hài lòng!
129147,7,5,10,10,5,Dịch vụ tuyệt vời!
32741,7,5,7,9,10,"Ngon, sẽ quay lại!"
146023,10,3,10,6,7,Dịch vụ tuyệt vời!
132551,6,0,3,6,3,Không hài lòng!
128603,1,2,7,8,8,Giá quá đắt!
28965,4,2,2,8,10,Không gian chật chội!
114641,10,4,8,8,4,"Ngon, sẽ quay lại!"
90118,0,7,9,4,3,Không gian chật chội!
73349,8,6,0,3,10,Không ngon!
124194,9,8,5,5,6,Không gian đẹp!
113685,10,1,5,4,10,Không gian đẹp!
125034,7,1,8,5,10,Dịch vụ tuyệt vời!
92210,0,6,5,8,4,Dịch vụ kém!
5351,10,0,7,3,10,Giá cả hợp lý!
90046,8,0,1,8,4,Không hài lòng!
59352,7,0,9,0,1,Dịch vụ kém!
139697,4,3,0,8,0,Không hài lòng!
98246,1,3,2,7,0,Không ngon!
121253,4,6,4,1,4,Dịch vụ kém!
110131,1,1,4,4,5,Không hài lòng!
114610,2,3,5,4,5,Giá quá đắt!
126656,7,1,1,4,10,Giá quá đắt!
87860,2,6,5,3,2,Không ngon!
135210,9,0,10,8,2,Không ngon!
91803,6,9,9,8,2,Dịch vụ tuyệt vời!
35621,2,2,2,9,9,Không ngon!
64979,2,2,10,3,1,Dịch vụ kém!
14126,2,0,2,4,7,Không ngon!
117774,8,5,4,5,4,Không ngon!
78768,6,6,8,1,1,Không hài lòng!
24602,5,0,5,0,5,Không gian chật chội!
83910,4,6,5,3,3,Giá quá đắt!
69517,4,10,10,3,3,Dịch vụ tuyệt vời!
140990,3,9,3,4,5,Không gian chật chội!
119950,1,6,6,8,0,Dịch vụ kém!
91096,1,5,9,9,9,"Ngon, sẽ quay lại!"
27301,10,1,3,1,1,Không ngon!
127376,0,10,2,7,3,Dịch vụ kém!
79601,3,4,4,7,3,Không ngon!
63961,8,5,7,9,4,Rất hài lòng!
137791,0,1,7,5,8,Không hài lòng!
87460,7,0,1,3,9,Không ngon!
88965,0,6,3,6,8,Giá quá đắt!
22939,3,0,2,1,1,Giá quá đắt!
135559,7,3,1,5,6,Không hài lòng!
103008,10,9,1,9,1,Không gian đẹp!
87263,9,9,3,7,5,Rất hài lòng!
11679,7,8,0,5,9,Dịch vụ kém!
70717,5,8,7,4,6,Dịch vụ tuyệt vời!
15911,5,7,10,6,10,Rất hài lòng!
63474,8,1,1,1,0,Dịch vụ kém!
96081,10,8,8,0,5,Giá cả hợp lý!
120764,4,3,4,2,0,Không gian chật chội!
49266,6,5,6,10,2,Dịch vụ kém!
82633,8,6,6,8,4,Rất hài lòng!
111428,7,2,9,10,8,Giá cả hợp lý!
85259,9,2,4,3,10,Không hài lòng!
145774,8,2,9,8,2,Không ngon!
49523,6,9,8,3,1,Dịch vụ kém!
129910,8,9,1,5,4,Dịch vụ kém!
82084,10,5,3,5,10,Dịch vụ tuyệt vời!
41633,3,10,0,7,6,Dịch vụ kém!
78712,10,3,5,9,4,Giá cả hợp lý!
71329,2,10,9,9,0,Dịch vụ tuyệt vời!
61288,0,2,0,4,9,Giá quá đắt!
86419,6,2,7,1,4,Không ngon!
106999,10,4,8,9,4,"Ngon, sẽ quay lại!"
102700,9,8,5,10,4,Giá cả hợp lý!
46573,5,1,3,10,10,Không gian chật chội!
24389,9,7,0,4,1,Giá quá đắt!
123643,9,8,0,3,1,Giá quá đắt!
19415,1,6,9,7,10,"Ngon, sẽ quay lại!"
129581,0,6,5,9,4,Dịch vụ kém!
148613,9,7,3,7,3,Không ngon!
131030,0,7,3,6,9,Không gian chật chội!
62382,2,1,2,10,10,Không gian chật chội!
127564,2,2,7,4,6,Không gian chật chội!
147319,9,8,2,10,0,Không gian chật chội!
121269,4,9,3,0,4,Giá quá đắt!
90174,6,10,3,4,8,Giá cả hợp lý!
143412,7,0,5,4,3,Dịch vụ kém!
43027,9,4,1,10,5,Không hài lòng!
4125,8,6,8,9,2,Giá cả hợp lý!
68401,1,5,3,10,9,Dịch vụ kém!
83709,4,8,6,5,4,Giá quá đắt!
79018,5,9,3,5,0,Giá quá đắt!
145363,4,10,5,0,9,Không ngon!
116635,0,2,8,9,1,Dịch vụ kém!
98818,7,6,1,10,9,Giá cả hợp lý!
87354,6,9,5,0,8,Không gian chật chội!
46297,10,5,7,8,1,Không gian đẹp!
127425,3,2,9,7,5,Giá quá đắt!
135943,3,8,1,4,9,Giá quá đắt!
51950,4,0,1,3,10,Dịch vụ kém!
58912,7,8,6,4,0,Không hài lòng!
100569,3,0,0,3,0,Dịch vụ kém!
67547,8,4,1,9,0,Không ngon!
8497,5,7,9,2,0,Dịch vụ kém!
59020,10,7,9,8,4,"Ngon, sẽ quay lại!"
25848,0,0,9,4,7,Không gian chật chội!
60743,5,6,10,5,5,Giá cả hợp lý!
130081,7,8,10,0,3,Dịch vụ kém!
31547,7,1,6,0,6,Không hài lòng!
63658,2,8,1,6,3,Dịch vụ kém!
7191,5,0,1,1,5,Không ngon!
70286,2,10,0,2,10,Không hài lòng!
109094,1,0,10,6,9,Không gian chật chội!
32120,9,1,8,0,2,Không hài lòng!
42591,0,9,8,6,4,Không gian chật chội!
148133,6,2,1,0,2,Không ngon!
69471,6,3,7,7,4,Không ngon!
98875,4,5,8,5,2,Không ngon!
87289,0,2,7,7,9,Không ngon!
89682,0,0,8,10,0,Không hài lòng!
82512,7,2,2,0,1,Không ngon!
99601,6,1,3,9,0,Dịch vụ kém!
55990,3,0,8,1,8,Giá quá đắt!
129888,7,3,3,6,4,Không hài lòng!
88790,8,0,4,9,0,Dịch vụ kém!
107108,1,3,5,8,2,Dịch vụ kém!
9896,2,3,5,6,0,Không hài lòng!
148184,9,7,10,10,1,Không gian đẹp!
20937,3,4,2,3,9,Giá quá đắt!
102291,6,1,6,0,0,Dịch vụ kém!
123341,4,6,6,1,4,Giá quá đắt!
26756,5,2,5,0,6,Không gian chật chội!
47471,10,2,8,0,10,Không gian đẹp!
99958,6,4,2,5,9,Giá quá đắt!
135420,4,7,1,9,10,Không gian đẹp!
6683,0,7,9,8,0,Giá quá đắt!
101737,0,3,9,6,5,Dịch vụ kém!
62564,9,8,10,6,4,"Ngon, sẽ quay lại!"
54379,5,0,3,3,8,Giá quá đắt!
60087,3,4,9,4,6,Dịch vụ kém!
116184,2,3,3,5,3,Giá quá đắt!
136011,6,10,8,10,8,"Ngon, sẽ quay lại!"
8845,5,3,5,1,6,Giá quá đắt!
128307,2,1,4,8,1,Không hài lòng!
72860,2,2,3,4,6,Không hài lòng!
118151,9,3,1,4,1,Không gian chật chội!
101778,9,2,6,8,5,Dịch vụ tuyệt vời!
17126,1,10,7,1,1,Không gian chật chội!
20259,1,5,6,7,0,Không gian chật chội!
69772,10,6,7,1,3,Không ngon!
56110,1,4,4,7,8,Dịch vụ kém!
94673,1,8,5,5,10,Không ngon!
66790,5,2,4,7,2,Giá quá đắt!
58537,1,4,0,7,10,Không ngon!
36108,5,10,10,6,0,"Ngon, sẽ quay lại!"
103866,4,8,9,8,10,"Ngon, sẽ quay lại!"
140629,10,9,2,8,10,"Ngon, sẽ quay lại!"
60501,3,5,8,7,6,Không hài lòng!
25244,2,9,0,5,6,Không hài lòng!
93966,8,6,10,7,2,Không gian đẹp!
50903,2,2,4,5,1,Không hài lòng!
121131,4,4,2,6,2,Không hài lòng!
136797,8,8,7,2,9,Giá cả hợp lý!
42895,2,2,8,3,8,Không ngon!
124089,0,8,7,8,0,Dịch vụ kém!
27980,4,1,10,6,6,Không ngon!
41787,4,2,4,3,5,Dịch vụ kém!
76188,10,4,10,6,8,"Ngon, sẽ quay lại!"
64167,6,4,7,7,4,Giá quá đắt!
72746,7,6,6,10,7,Không gian đẹp!
144855,0,2,7,10,2,Không gian chật chội!
114751,1,8,2,9,5,Không ngon!
15815,3,4,5,10,6,Không gian chật chội!
74175,5,2,10,1,3,Không ngon!
141631,4,9,5,1,8,Không gian chật chội!
60602,8,10,3,1,8,"Ngon, sẽ quay lại!"
109015,10,2,4,4,9,Không gian chật chội!
50289,7,5,5,8,8,Không gian đẹp!
147268,9,10,2,2,2,Không ngon!
131567,8,5,2,10,0,Không ngon!
39988,4,4,6,1,3,Không ngon!
39266,8,10,0,1,4,Không gian chật chội!
111983,5,1,7,10,2,Không gian chật chội!
80628,5,1,4,1,0,Không ngon!
127319,2,6,7,0,7,Giá quá đắt!
121653,6,8,6,0,2,Giá quá đắt!
10709,4,3,9,8,0,Giá quá đắt!
129622,7,0,3,4,6,Giá quá đắt!
121996,5,9,7,10,2,Rất hài lòng!
25011,9,6,7,4,7,Dịch vụ tuyệt vời!
24599,8,0,2,4,7,Dịch vụ kém!
134543,2,7,5,10,9,Giá cả hợp lý!
60842,2,3,10,4,9,Giá quá đắt!
88589,3,0,5,5,6,Không hài lòng!
66778,1,9,5,6,0,Không hài lòng!
134593,9,7,1,3,2,Giá quá đắt!
23592,7,10,1,0,3,Không gian chật chội!
53799,5,6,9,4,4,Không gian chật chội!
30224,8,0,6,3,10,Không ngon!
109060,8,6,9,0,8,"Ngon, sẽ quay lại!"
793,5,10,6,4,5,"Ngon, sẽ quay lại!"
72619,2,0,4,1,5,Không hài lòng!
105571,6,7,4,9,4,Rất hài lòng!
54882,6,4,1,4,5,Dịch vụ kém!
38157,7,3,10,1,1,Dịch vụ kém!
63724,4,6,8,10,5,"Ngon, sẽ quay lại!"
85029,0,6,10,8,5,Dịch vụ kém!
61024,6,2,0,6,5,Giá quá đắt!
74528,1,0,7,10,3,Giá quá đắt!
44825,8,1,6,8,5,Không hài lòng!
52493,4,5,7,4,2,Dịch vụ kém!
6726,3,1,2,1,10,Dịch vụ kém!
82924,7,1,5,10,2,Dịch vụ kém!
130721,5,0,7,7,6,Không gian chật chội!
142424,10,0,7,3,1,Không ngon!
69124,0,5,1,3,3,Không ngon!
72726,10,1,1,4,6,Không hài lòng!
79057,9,9,6,5,5,Rất hài lòng!
75201,6,8,7,2,8,"Ngon, sẽ quay lại!"
106100,8,10,8,1,7,Rất hài lòng!
3154,4,4,0,5,10,Giá quá đắt!
13464,4,2,4,1,0,Giá quá đắt!
79914,2,8,8,8,7,Dịch vụ tuyệt vời!
26651,6,1,8,0,7,Không hài lòng!
36196,7,3,5,3,8,Dịch vụ kém!
26961,10,6,2,0,4,Dịch vụ kém!
104227,6,7,0,2,7,Giá quá đắt!
67477,0,10,10,7,7,Không gian đẹp!
137352,7,5,3,0,10,Không gian chật chội!
120326,0,9,5,5,7,Không ngon!
60644,7,4,5,2,5,Không ngon!
75501,9,8,4,2,0,Không ngon!
128996,6,7,5,7,8,Giá cả hợp lý!
1653,7,3,5,2,2,Giá quá đắt!
35123,7,5,3,6,0,Không gian chật chội!
127555,4,2,2,1,0,Giá quá đắt!
114493,2,3,6,4,2,Giá quá đắt!
115834,4,2,9,0,7,Không gian chật chội!
105116,7,0,5,3,10,Không ngon!
31070,9,0,4,10,2,Giá quá đắt!
120137,9,9,8,0,1,Dịch vụ kém!
31626,9,9,3,4,7,Rất hài lòng!
6239,4,2,2,0,4,Không hài lòng!
81188,7,3,3,7,10,Không gian đẹp!
126827,1,0,5,9,0,Không ngon!
51519,9,5,6,4,2,Không hài lòng!
97893,4,9,5,9,1,Không hài lòng!
45085,6,8,9,10,10,Dịch vụ tuyệt vời!
114344,6,9,9,6,5,Rất hài lòng!
146039,0,5,8,8,9,Không gian đẹp!
71089,1,7,2,2,8,Dịch vụ kém!
66497,2,8,8,7,5,Không gian đẹp!
127327,8,1,10,9,0,Không hài lòng!
78477,0,5,0,6,10,Dịch vụ kém!
61413,8,6,10,0,1,Không hài lòng!
121738,2,0,3,9,4,Không gian chật chội!
123757,4,9,6,8,10,Dịch vụ tuyệt vời!
122230,3,8,5,1,0,Không hài lòng!
38820,4,7,10,10,1,Giá cả hợp lý!
42297,6,4,5,1,2,Giá quá đắt!
63499,0,5,10,8,9,"Ngon, sẽ quay lại!"
14056,1,7,10,1,0,Không ngon!
46821,7,1,9,3,0,Không hài lòng!
54137,4,5,0,6,10,Giá quá đắt!
57670,7,4,8,6,0,Không hài lòng!
112499,4,2,9,7,1,Không hài lòng!
149207,0,10,9,7,2,Không ngon!
26816,8,1,7,8,4,Dịch vụ kém!
107808,9,10,8,7,5,"Ngon, sẽ quay lại!"
143152,5,5,1,8,7,Giá quá đắt!
86116,1,0,3,1,10,Dịch vụ kém!
61581,3,5,8,10,7,Dịch vụ tuyệt vời!
139906,7,1,1,8,5,Giá quá đắt!
52791,0,8,10,4,7,Dịch vụ kém!
67893,2,4,3,2,0,Không hài lòng!
49567,5,8,0,1,7,Không ngon!
137896,8,10,9,4,3,Giá cả hợp lý!
123644,1,6,4,9,8,Không gian chật chội!
20685,6,4,1,6,6,Không hài lòng!
58837,1,4,0,3,0,Không hài lòng!
97257,1,5,4,2,10,Dịch vụ kém!
50263,8,9,1,9,3,"Ngon, sẽ quay lại!"
36194,1,0,4,0,7,Không ngon!
41978,1,6,4,1,9,Dịch vụ kém!
72866,9,2,8,1,0,Không ngon!
121959,10,6,9,1,9,Giá cả hợp lý!
134809,2,3,5,3,1,Dịch vụ kém!
25533,1,10,3,3,0,Dịch vụ kém!
16680,8,6,3,7,4,Không gian chật chội!
61657,1,4,3,6,5,Không gian chật chội!
83864,9,10,3,1,1,Dịch vụ kém!
116253,10,3,10,3,5,Dịch vụ tuyệt vời!
100204,1,9,7,5,8,Không gian đẹp!
125110,10,4,1,8,10,Rất hài lòng!
5031,3,5,8,3,9,Giá quá đắt!
135232,1,2,10,2,2,Không ngon!
64651,9,7,9,2,6,Giá cả hợp lý!
14023,5,0,9,10,1,Không gian chật chội!
64690,8,3,6,0,6,Giá quá đắt!
16992,5,7,8,5,3,Không hài lòng!
89187,10,9,2,5,3,Không ngon!
