MaKhachHang,ThoiDiemTruyCap,ThoiGianTruyCap
89137,2023-09-24 10:44:00,1486
50480,2023-05-13 14:32:00,3172
52560,2023-01-15 18:54:00,520
11697,2023-01-12 13:38:00,2632
71203,2023-11-16 21:53:00,2422
14587,2023-09-02 08:09:00,378
29490,2023-06-09 17:50:00,2294
11343,2023-03-31 04:01:00,2018
4478,2023-01-10 03:45:00,2209
89178,2023-02-16 10:19:00,2192
84563,2023-11-14 02:23:00,1710
22806,2023-11-01 15:46:00,3557
5948,2023-02-26 08:31:00,661
93089,2023-04-06 02:19:00,1778
68953,2023-03-13 16:14:00,1985
24861,2023-01-07 05:32:00,2461
24974,2023-04-20 13:55:00,1431
27354,2023-04-28 06:56:00,3179
65849,2023-02-07 19:05:00,2590
4323,2023-08-09 03:06:00,1556
49457,2023-09-24 11:48:00,544
65536,2023-03-25 02:13:00,2981
38942,2023-05-22 11:51:00,3599
30972,2023-07-09 04:13:00,601
41349,2023-12-31 09:14:00,869
60856,2023-05-30 17:27:00,2940
61357,2023-05-18 12:02:00,3197
88499,2023-09-20 22:49:00,2573
60972,2023-09-08 18:45:00,2733
26815,2023-09-18 18:49:00,22
59845,2023-12-12 04:37:00,1581
80061,2023-03-27 21:08:00,353
67277,2023-07-04 18:43:00,3017
73310,2023-10-31 15:45:00,13
10107,2023-03-12 01:07:00,792
56587,2023-10-18 19:07:00,1376
9204,2023-11-06 18:54:00,2613
59701,2023-02-25 17:09:00,904
37233,2023-01-07 20:27:00,2141
27725,2023-08-15 15:52:00,164
57218,2023-07-15 07:42:00,3456
82791,2023-05-15 02:23:00,508
87973,2023-11-24 15:25:00,530
97195,2023-06-09 05:23:00,1868
39229,2023-11-20 13:04:00,1898
48408,2023-02-12 07:16:00,1086
17763,2023-02-13 02:27:00,1725
55401,2023-08-16 19:57:00,1320
95590,2023-03-12 06:40:00,3192
20734,2023-05-02 16:27:00,3231
94655,2023-01-15 22:00:00,2191
44733,2023-01-05 03:17:00,762
52783,2023-08-23 15:54:00,2264
31036,2023-01-09 14:31:00,2797
40728,2023-06-19 03:47:00,2104
54401,2023-07-06 06:27:00,520
44316,2023-11-23 15:58:00,2770
79537,2023-02-23 12:16:00,900
18178,2023-04-03 10:23:00,452
15349,2023-12-05 12:27:00,2048
31486,2023-10-24 09:30:00,265
95824,2023-11-29 14:56:00,1672
23958,2023-04-05 19:02:00,365
20664,2023-03-24 21:39:00,496
59133,2023-07-07 16:18:00,1298
40638,2023-11-04 07:51:00,1854
92543,2023-09-24 08:46:00,750
86295,2023-05-03 19:28:00,610
8219,2023-04-02 06:41:00,2748
68125,2023-05-09 14:43:00,3213
30224,2023-09-19 03:13:00,937
92894,2023-03-16 11:14:00,3197
10338,2023-05-21 07:18:00,1530
43619,2023-11-19 04:01:00,2284
7673,2023-12-26 20:24:00,144
23641,2023-08-23 06:40:00,2155
66601,2023-05-21 14:50:00,2186
59615,2023-12-20 14:48:00,292
98962,2023-07-27 21:25:00,384
76841,2023-06-09 10:58:00,1093
3380,2023-10-04 04:05:00,622
89976,2023-02-21 08:03:00,2543
11493,2023-10-02 15:26:00,3510
25620,2023-01-21 19:26:00,1129
77352,2023-05-03 08:00:00,3488
82583,2023-09-06 20:55:00,1754
70494,2023-03-06 12:07:00,2143
15301,2023-08-08 04:43:00,1248
79299,2023-02-08 21:52:00,2193
16260,2023-06-05 12:33:00,2306
34603,2023-01-17 01:07:00,1849
52452,2023-12-12 08:37:00,1742
91173,2023-03-19 17:25:00,935
31712,2023-05-17 20:20:00,2250
39527,2023-09-04 00:44:00,1059
64606,2023-12-09 04:36:00,1897
30866,2023-04-24 11:19:00,2615
46626,2023-01-26 12:26:00,1466
62652,2023-11-03 21:01:00,809
69359,2023-10-01 09:58:00,1860
43088,2023-10-25 04:14:00,1051
81762,2023-05-21 03:03:00,2288
85128,2023-07-27 22:01:00,1748
58915,2023-11-22 22:30:00,3448
65236,2023-06-19 02:43:00,462
51935,2023-05-23 06:47:00,275
47542,2023-12-29 22:23:00,218
24554,2023-04-16 18:32:00,569
38086,2023-07-08 10:34:00,1561
43223,2023-03-22 13:49:00,3030
19905,2023-02-24 21:03:00,2493
4699,2023-02-11 16:15:00,1457
23258,2023-08-17 03:37:00,1928
49604,2023-08-11 11:03:00,2767
98195,2023-02-14 22:59:00,2193
18350,2023-01-07 04:24:00,2973
31728,2023-04-22 14:32:00,2795
78573,2023-04-25 00:13:00,1112
10942,2023-01-23 21:10:00,323
1740,2023-12-29 08:35:00,2551
90810,2023-10-17 00:52:00,3396
10201,2023-06-07 05:32:00,252
79520,2023-06-05 20:10:00,1664
39330,2023-12-07 23:06:00,2590
53015,2023-09-28 14:15:00,648
82622,2023-01-12 10:18:00,1172
23275,2023-02-05 00:46:00,1498
80828,2023-08-22 10:09:00,3082
51780,2023-02-23 12:11:00,84
18219,2023-05-05 16:20:00,1120
1816,2023-09-09 15:45:00,2547
89073,2023-10-27 15:04:00,1017
63144,2023-03-19 00:26:00,1349
6123,2023-03-16 02:50:00,533
96548,2023-01-18 05:28:00,1302
54104,2023-10-10 13:14:00,2930
24208,2023-10-17 20:42:00,1001
30165,2023-06-18 09:30:00,3249
22429,2023-11-04 10:31:00,1742
87861,2023-01-19 11:28:00,3352
28458,2023-05-01 12:32:00,2470
661,2023-03-25 17:40:00,1849
39028,2023-10-14 21:28:00,1989
48091,2023-04-26 02:36:00,683
84688,2023-09-16 18:53:00,3224
8357,2023-11-07 10:46:00,1895
77692,2023-07-02 01:36:00,494
1604,2023-11-25 11:44:00,3090
22196,2023-10-19 13:47:00,2359
83316,2023-08-30 02:44:00,2208
1612,2023-08-18 01:57:00,255
78960,2023-03-11 19:18:00,2348
49836,2023-06-26 02:58:00,2675
90802,2023-11-06 13:42:00,25
15839,2023-01-29 14:39:00,1042
26607,2023-11-15 03:41:00,3003
21678,2023-05-22 03:48:00,3406
34952,2023-05-22 22:22:00,1695
86442,2023-05-13 05:52:00,1580
70536,2023-07-27 00:59:00,235
72643,2023-07-24 07:33:00,2662
97474,2023-07-15 07:39:00,1146
90187,2023-09-28 22:41:00,1487
98241,2023-05-17 03:52:00,857
37381,2023-11-26 14:52:00,1779
54574,2023-02-15 12:40:00,1333
33002,2023-12-24 17:14:00,4
64580,2023-05-06 01:26:00,2569
63619,2023-01-20 05:25:00,395
89166,2023-03-12 01:15:00,1541
19371,2023-07-30 19:43:00,386
39443,2023-02-22 12:26:00,3311
37248,2023-04-05 13:09:00,920
31141,2023-10-03 23:12:00,2620
43683,2023-12-22 16:29:00,2626
68400,2023-05-26 14:31:00,1709
65176,2023-09-18 07:02:00,1401
99191,2023-08-29 10:32:00,2098
8342,2023-01-05 23:03:00,1477
29416,2023-01-07 08:55:00,1556
42623,2023-02-16 08:42:00,1136
23917,2023-10-28 06:00:00,1152
67422,2023-09-16 20:35:00,3244
73456,2023-04-23 04:26:00,966
27196,2023-05-15 07:00:00,3410
32682,2023-01-31 19:45:00,2714
38255,2023-11-18 09:14:00,597
37453,2023-09-05 18:23:00,1048
67636,2023-10-13 07:17:00,181
43488,2023-11-05 13:12:00,2460
26480,2023-11-08 15:27:00,2981
48152,2023-02-22 08:46:00,3287
42231,2023-03-29 21:40:00,2016
872,2023-07-31 15:43:00,872
74048,2023-12-30 05:58:00,3349
85142,2023-03-02 16:06:00,1347
37515,2023-03-04 18:15:00,2817
92602,2023-05-03 07:41:00,2660
73137,2023-07-20 01:29:00,2127
82116,2023-03-05 19:06:00,2302
74297,2023-03-06 09:13:00,2573
71665,2023-08-11 14:25:00,2982
84183,2023-01-17 18:23:00,3004
29964,2023-07-15 13:04:00,875
85839,2023-06-27 18:33:00,2722
79752,2023-01-21 07:39:00,2829
82858,2023-12-09 03:02:00,1774
4077,2023-01-28 02:19:00,2073
5319,2023-09-17 01:44:00,2840
1578,2023-09-29 02:57:00,1644
28486,2023-06-23 14:36:00,1860
55985,2023-12-31 22:38:00,1777
16895,2023-11-21 23:13:00,537
98040,2023-06-30 10:20:00,2066
32295,2023-01-12 15:31:00,743
22996,2023-11-04 09:42:00,2605
68914,2023-03-11 17:34:00,665
34219,2023-10-29 22:42:00,62
91010,2023-11-13 06:37:00,540
53948,2023-01-16 00:35:00,3353
57452,2023-08-18 20:23:00,279
1411,2023-09-17 20:14:00,2550
82077,2023-09-14 17:16:00,473
58344,2023-03-10 12:31:00,3028
51263,2023-04-11 23:54:00,1860
96056,2023-04-18 08:02:00,188
66508,2023-05-14 12:14:00,2261
85478,2023-01-14 22:15:00,1926
72280,2023-06-23 06:58:00,1821
83999,2023-04-09 22:45:00,1750
88289,2023-02-01 12:38:00,320
22517,2023-02-23 00:21:00,2070
86608,2023-04-14 00:08:00,424
19978,2023-01-11 00:17:00,2735
24314,2023-05-17 15:39:00,3588
5531,2023-08-16 00:05:00,1351
6190,2023-11-05 21:03:00,198
97269,2023-10-06 02:28:00,130
84135,2023-04-14 04:27:00,2361
30360,2023-09-19 17:21:00,914
57060,2023-04-28 04:22:00,245
91397,2023-02-17 10:08:00,2461
41041,2023-11-22 17:12:00,18
78048,2023-04-23 06:14:00,3581
85746,2023-12-16 11:11:00,478
65562,2023-02-27 08:24:00,161
30514,2023-12-25 22:43:00,2546
89101,2023-09-09 19:17:00,3269
87156,2023-05-08 19:06:00,1299
25346,2023-05-08 06:15:00,2163
47976,2023-01-08 09:58:00,51
25860,2023-01-26 01:06:00,1943
43675,2023-06-10 21:41:00,2119
2450,2023-01-30 14:38:00,2003
84958,2023-10-18 18:10:00,2242
38091,2023-01-09 20:19:00,2863
36004,2023-11-24 13:48:00,1129
33099,2023-06-12 09:00:00,1340
64900,2023-11-18 11:21:00,3082
60894,2023-06-10 07:23:00,618
98993,2023-07-05 09:44:00,1367
51042,2023-11-10 04:20:00,2095
60037,2023-07-30 19:07:00,3499
90002,2023-01-22 01:33:00,1238
96000,2023-11-10 18:23:00,1923
9314,2023-07-23 01:47:00,85
71931,2023-07-26 01:32:00,2476
48245,2023-09-11 02:49:00,58
26767,2023-09-08 00:23:00,397
31987,2023-07-15 21:52:00,3393
57713,2023-01-15 02:43:00,3408
65607,2023-04-23 10:25:00,3077
42503,2023-09-29 13:26:00,2309
51254,2023-03-25 20:27:00,1781
11068,2023-08-19 00:58:00,1915
91615,2023-01-21 23:38:00,2611
93705,2023-09-03 22:16:00,588
85521,2023-04-24 22:11:00,2293
6163,2023-04-09 19:47:00,2288
15448,2023-04-25 04:12:00,980
61551,2023-08-07 01:59:00,3244
69029,2023-03-07 11:02:00,3447
26941,2023-03-04 16:08:00,2443
77213,2023-01-02 22:41:00,1586
43754,2023-10-18 13:13:00,3022
15209,2023-06-24 04:43:00,1203
63869,2023-04-07 02:25:00,2993
87477,2023-12-16 14:02:00,1874
25115,2023-12-17 23:05:00,1087
8457,2023-01-13 13:15:00,937
52568,2023-02-27 04:07:00,2190
27086,2023-06-21 16:09:00,1001
99407,2023-07-09 15:37:00,2226
32279,2023-11-22 04:22:00,2955
53674,2023-01-10 11:08:00,1825
10430,2023-02-06 08:36:00,2456
32351,2023-05-16 09:46:00,1534
33471,2023-03-28 09:45:00,1009
23932,2023-04-08 07:24:00,2500
87489,2023-02-16 03:09:00,982
25861,2023-05-28 23:43:00,1128
95826,2023-05-07 19:05:00,3445
40451,2023-04-20 03:36:00,1690
59050,2023-08-19 16:10:00,2154
98992,2023-11-22 14:50:00,3401
57457,2023-07-24 15:50:00,3531
74465,2023-12-11 21:41:00,3321
90503,2023-10-17 21:17:00,3249
8467,2023-10-31 22:47:00,532
77031,2023-03-23 16:13:00,1108
98553,2023-03-15 03:59:00,3571
40553,2023-05-06 10:16:00,280
89830,2023-11-18 08:30:00,2213
52739,2023-05-31 19:12:00,1327
51954,2023-04-11 21:44:00,983
6515,2023-01-10 09:49:00,1408
83540,2023-09-18 18:40:00,3027
90901,2023-10-17 22:52:00,501
71866,2023-12-06 11:39:00,2641
52082,2023-01-28 23:20:00,2087
59553,2023-04-22 11:18:00,1639
85343,2023-10-18 13:33:00,1660
50311,2023-01-08 14:40:00,3304
13423,2023-06-25 03:00:00,656
6161,2023-06-23 01:41:00,1871
2391,2023-12-11 09:29:00,3066
93128,2023-06-05 00:58:00,1406
84365,2023-05-05 10:41:00,1459
23297,2023-12-23 00:52:00,3270
15820,2023-12-24 13:21:00,1608
77385,2023-08-18 08:56:00,1374
86765,2023-12-15 13:15:00,447
30440,2023-10-05 11:34:00,265
53922,2023-07-08 21:46:00,2052
4016,2023-03-11 04:16:00,2443
83520,2023-10-14 10:16:00,2820
30387,2023-02-19 09:39:00,2857
8131,2023-11-14 18:28:00,495
94326,2023-08-16 08:49:00,2776
185,2023-04-04 17:53:00,3075
22513,2023-03-19 13:08:00,865
43570,2023-02-16 08:32:00,2853
18322,2023-10-02 21:50:00,1108
36839,2023-06-21 10:09:00,3060
15335,2023-06-21 23:16:00,9
24653,2023-06-24 05:13:00,2249
17217,2023-12-21 16:42:00,2231
82297,2023-01-09 20:40:00,533
26606,2023-05-03 18:25:00,56
93082,2023-01-26 21:16:00,1593
64961,2023-07-23 11:19:00,533
41129,2023-02-10 22:54:00,774
69014,2023-11-01 12:00:00,285
54633,2023-03-28 02:59:00,204
75255,2023-12-11 17:46:00,1112
53389,2023-08-23 14:35:00,3575
19727,2023-10-18 01:31:00,3144
77274,2023-11-17 01:09:00,984
12554,2023-04-16 02:38:00,1625
74046,2023-01-13 11:15:00,2484
31608,2023-01-01 10:39:00,40
48306,2023-03-06 21:19:00,1512
12105,2023-05-23 04:23:00,2671
34611,2023-10-15 02:40:00,713
20648,2023-11-07 19:18:00,597
23650,2023-02-18 00:56:00,2776
75276,2023-08-01 16:17:00,301
50424,2023-07-10 15:34:00,1939
81192,2023-09-18 22:21:00,359
3250,2023-01-28 04:42:00,983
31904,2023-03-18 08:25:00,1548
78963,2023-01-05 04:23:00,3502
82531,2023-06-28 05:13:00,443
76391,2023-03-26 22:50:00,682
9746,2023-11-21 11:12:00,2901
46870,2023-03-28 22:11:00,3101
42416,2023-05-17 07:00:00,871
82936,2023-01-21 22:15:00,2256
39358,2023-09-09 09:25:00,1755
90933,2023-02-08 13:45:00,3073
42820,2023-09-28 12:47:00,658
76692,2023-12-17 16:15:00,1417
85178,2023-03-21 10:13:00,975
53299,2023-03-05 19:36:00,324
80434,2023-01-06 23:14:00,3281
9055,2023-09-06 21:20:00,825
68545,2023-03-15 11:32:00,1554
99622,2023-12-29 12:43:00,1004
28261,2023-12-23 06:46:00,871
3376,2023-07-09 19:00:00,38
81458,2023-01-03 07:15:00,2050
1557,2023-06-13 21:55:00,1562
27127,2023-06-16 20:51:00,3461
89888,2023-03-10 02:52:00,2617
14216,2023-02-11 16:30:00,244
65955,2023-03-09 23:21:00,148
39510,2023-08-08 09:54:00,3570
41770,2023-09-16 00:20:00,1598
13994,2023-02-15 08:04:00,1592
81699,2023-08-16 07:48:00,1747
49152,2023-06-02 16:01:00,3499
84087,2023-09-06 14:42:00,2260
70758,2023-01-24 06:48:00,754
47493,2023-02-13 18:04:00,114
79506,2023-01-23 09:15:00,2760
11827,2023-07-27 12:11:00,6
13024,2023-11-18 00:18:00,2193
55155,2023-04-27 01:41:00,2464
65996,2023-06-08 20:33:00,931
3789,2023-09-10 21:48:00,1354
20914,2023-05-22 03:44:00,1480
9876,2023-08-08 10:55:00,3247
12537,2023-02-24 05:30:00,1625
63272,2023-10-29 22:29:00,3156
49171,2023-07-27 09:54:00,2930
48752,2023-03-08 15:00:00,1876
811,2023-06-27 09:52:00,972
54595,2023-06-12 15:16:00,3163
45678,2023-05-25 18:44:00,1636
62133,2023-09-01 01:46:00,1057
41850,2023-07-10 03:57:00,3222
22560,2023-07-11 13:31:00,563
10551,2023-12-21 09:22:00,10
93284,2023-01-06 21:54:00,1303
3270,2023-03-09 14:15:00,1066
70650,2023-11-29 08:54:00,2844
12872,2023-03-15 19:54:00,3067
43801,2023-08-16 06:55:00,2367
72145,2023-11-07 06:03:00,9
10459,2023-01-25 15:00:00,3581
93079,2023-07-31 04:25:00,216
18345,2023-10-07 11:32:00,469
3327,2023-07-12 00:03:00,2420
42448,2023-06-19 05:59:00,3544
67947,2023-09-06 00:41:00,22
50549,2023-08-16 09:26:00,3567
13515,2023-01-19 17:06:00,3369
52282,2023-12-14 16:42:00,1
42920,2023-11-06 20:35:00,1450
43956,2023-07-21 10:08:00,1261
82057,2023-11-14 05:37:00,3332
78924,2023-09-18 23:56:00,1099
4578,2023-12-15 02:19:00,2080
35475,2023-08-21 11:33:00,2348
86947,2023-01-26 03:52:00,1024
34090,2023-08-24 05:10:00,2965
155,2023-09-26 04:03:00,1869
16480,2023-03-07 02:34:00,1116
57364,2023-10-19 05:44:00,666
48832,2023-09-27 15:25:00,963
39189,2023-08-25 11:20:00,1564
18409,2023-01-22 14:59:00,2154
82099,2023-11-12 14:34:00,3095
59921,2023-08-17 19:32:00,3470
38548,2023-09-13 16:30:00,1989
7208,2023-12-24 02:12:00,1744
32277,2023-01-06 17:34:00,905
84965,2023-03-28 21:21:00,3336
63640,2023-10-14 21:33:00,3309
75175,2023-04-02 15:33:00,1256
42429,2023-07-11 12:59:00,80
29273,2023-10-08 14:23:00,406
30975,2023-07-04 02:51:00,1554
80511,2023-08-08 05:13:00,2831
81694,2023-01-23 01:35:00,1401
48363,2023-02-27 20:06:00,2211
81518,2023-05-03 04:32:00,996
31947,2023-07-14 06:26:00,13
50246,2023-10-09 19:55:00,1403
36377,2023-06-19 01:53:00,2973
31306,2023-03-20 15:23:00,2011
76445,2023-02-15 18:17:00,2725
36565,2023-04-18 06:19:00,1518
14379,2023-11-08 01:19:00,97
46299,2023-05-21 05:20:00,2354
66400,2023-10-17 14:05:00,470
64580,2023-09-27 15:18:00,3037
85149,2023-04-18 04:30:00,957
31265,2023-01-06 09:42:00,1864
37743,2023-11-04 02:00:00,2371
97969,2023-03-30 23:13:00,2328
38720,2023-12-13 03:54:00,3127
96351,2023-11-18 13:11:00,2536
52110,2023-08-04 15:55:00,1174
71874,2023-08-13 00:24:00,604
41306,2023-11-29 20:25:00,2487
72492,2023-12-25 19:36:00,335
22034,2023-01-29 18:55:00,731
72393,2023-08-05 02:27:00,919
46949,2023-08-10 14:52:00,1709
61664,2023-01-16 05:55:00,1638
22687,2023-02-05 16:47:00,2578
30307,2023-09-01 07:01:00,1963
67151,2023-08-08 06:05:00,3271
57378,2023-05-06 22:30:00,901
42529,2023-09-01 22:34:00,51
76176,2023-06-23 15:33:00,2772
19858,2023-09-17 04:36:00,1190
17368,2023-11-20 05:05:00,1909
25295,2023-12-27 21:29:00,2370
71513,2023-04-03 15:49:00,2306
81150,2023-07-10 04:38:00,381
21208,2023-10-28 14:37:00,148
45513,2023-03-14 07:13:00,156
22830,2023-01-10 12:45:00,2565
62436,2023-10-15 03:18:00,1266
20189,2023-11-13 07:14:00,170
74207,2023-03-03 05:58:00,2517
90783,2023-05-16 23:28:00,2802
38571,2023-03-10 23:55:00,1264
73959,2023-08-09 01:52:00,1806
92348,2023-03-07 23:08:00,1162
53871,2023-11-18 07:32:00,2732
93868,2023-11-16 05:30:00,3303
76042,2023-04-20 11:29:00,3566
84802,2023-11-05 17:32:00,104
9598,2023-07-25 14:09:00,2924
6738,2023-07-23 23:02:00,2467
54943,2023-08-13 03:15:00,2155
72445,2023-05-12 04:04:00,423
79711,2023-02-25 01:00:00,281
26961,2023-08-22 20:34:00,364
13045,2023-03-07 03:08:00,2775
56422,2023-07-29 04:10:00,338
64178,2023-12-29 06:59:00,1348
30185,2023-05-14 16:14:00,3551
94813,2023-10-31 18:14:00,1782
70032,2023-04-24 00:26:00,1620
14947,2023-07-27 03:50:00,1244
81970,2023-10-30 03:56:00,1763
60868,2023-08-17 05:21:00,2938
44083,2023-03-08 05:09:00,160
42674,2023-08-26 16:32:00,2999
69276,2023-11-04 03:36:00,1514
89175,2023-07-20 20:23:00,2100
4616,2023-01-23 10:25:00,3221
50816,2023-09-07 05:31:00,3385
68099,2023-06-03 06:57:00,2700
72645,2023-12-29 05:51:00,2431
62435,2023-11-29 22:46:00,1551
42842,2023-01-04 00:30:00,54
13510,2023-05-07 16:30:00,648
4389,2023-03-29 01:46:00,1527
58544,2023-12-17 21:31:00,815
80865,2023-08-26 00:36:00,1637
69452,2023-04-20 12:37:00,3327
