MaSoThe,MaKhachHang,NgayLap,LoaiThe,TinhTrangThe,DiemTichLuy
82,49369,2023-07-06,Member,Active,0
83,7065,2023-08-20,Member,Active,0
84,44267,2023-08-25,Member,Active,0
85,89432,2023-11-08,Member,Active,0
86,70135,2023-02-11,Member,Active,0
87,78174,2023-01-01,Member,Active,0
88,84633,2023-10-14,Member,Active,0
89,27841,2023-12-28,Member,Active,0
90,81359,2023-11-19,Member,Active,0
91,13172,2023-10-21,Member,Active,0
92,20018,2023-09-01,Member,Active,0
93,14239,2023-10-01,Member,Active,0
94,17703,2023-06-02,Member,Active,0
95,25881,2023-09-19,Member,Active,0
96,67954,2023-06-06,Member,Active,0
97,64728,2023-09-29,Member,Active,0
98,59803,2023-06-16,Member,Active,0
99,91153,2023-09-21,Member,Active,0
100,4209,2023-09-14,Member,Active,0
101,74659,2023-10-04,Member,Active,0
102,98356,2023-08-04,Member,Active,0
103,96285,2023-07-14,Member,Active,0
104,52164,2023-05-11,Member,Active,0
105,64166,2023-01-21,Member,Active,0
106,16050,2023-07-29,Member,Active,0
107,4119,2023-03-07,Member,Active,0
108,48558,2023-05-10,Member,Active,0
109,69822,2023-07-14,Member,Active,0
110,18105,2023-10-16,Member,Active,0
111,52233,2023-10-07,Member,Active,0
112,80674,2023-12-19,Member,Active,0
113,943,2023-01-08,Member,Active,0
114,42500,2023-04-04,Member,Active,0
115,36054,2023-08-17,Member,Active,0
116,82817,2023-07-09,Member,Active,0
117,93165,2023-08-13,Member,Active,0
118,80973,2023-12-14,Member,Active,0
119,76591,2023-01-28,Member,Active,0
120,93414,2023-06-12,Member,Active,0
121,81744,2023-06-02,Member,Active,0
122,31799,2023-11-03,Member,Active,0
123,27289,2023-12-26,Member,Active,0
124,92646,2023-10-21,Member,Active,0
125,34777,2023-07-07,Member,Active,0
126,7679,2023-09-11,Member,Active,0
127,81919,2023-11-27,Member,Active,0
128,46104,2023-01-19,Member,Active,0
129,2763,2023-09-11,Member,Active,0
130,48744,2023-02-21,Member,Active,0
131,48038,2023-12-11,Member,Active,0
132,98239,2023-01-06,Member,Active,0
133,55858,2023-01-31,Member,Active,0
134,72977,2023-08-16,Member,Active,0
135,92148,2023-01-21,Member,Active,0
136,46005,2023-10-25,Member,Active,0
137,21324,2023-04-20,Member,Active,0
138,39887,2023-08-05,Member,Active,0
139,89596,2023-08-19,Member,Active,0
140,52152,2023-10-21,Member,Active,0
141,16224,2023-06-28,Member,Active,0
142,45169,2023-12-23,Member,Active,0
143,21549,2023-12-21,Member,Active,0
144,97799,2023-08-01,Member,Active,0
145,25768,2023-03-31,Member,Active,0
146,38498,2023-09-26,Member,Active,0
147,63878,2023-10-08,Member,Active,0
148,77081,2023-07-24,Member,Active,0
149,69853,2023-06-27,Member,Active,0
150,19547,2023-06-22,Member,Active,0
151,37400,2023-02-16,Member,Active,0
152,7348,2023-09-16,Member,Active,0
153,6104,2023-11-06,Member,Active,0
154,42645,2023-08-14,Member,Active,0
155,98778,2023-11-03,Member,Active,0
156,50856,2023-11-08,Member,Active,0
157,36370,2023-04-09,Member,Active,0
158,16219,2023-12-18,Member,Active,0
159,9864,2023-04-04,Member,Active,0
160,97161,2023-12-19,Member,Active,0
161,71607,2023-08-12,Member,Active,0
162,49652,2023-06-23,Member,Active,0
163,23628,2023-07-26,Member,Active,0
164,45165,2023-10-05,Member,Active,0
165,4035,2023-08-13,Member,Active,0
166,63411,2023-08-12,Member,Active,0
167,19785,2023-02-09,Member,Active,0
168,77188,2023-08-14,Member,Active,0
169,84047,2023-03-31,Member,Active,0
170,15224,2023-01-07,Member,Active,0
171,3539,2023-09-27,Member,Active,0
172,78597,2023-05-20,Member,Active,0
173,4929,2023-09-11,Member,Active,0
174,75341,2023-04-17,Member,Active,0
175,96619,2023-06-30,Member,Active,0
176,88715,2023-03-18,Member,Active,0
177,2747,2023-12-26,Member,Active,0
178,37390,2023-01-10,Member,Active,0
179,27092,2023-12-03,Member,Active,0
180,79449,2023-01-04,Member,Active,0
181,91925,2023-02-15,Member,Active,0
182,87115,2023-05-21,Member,Active,0
183,85119,2023-01-18,Member,Active,0
184,96563,2023-05-06,Member,Active,0
185,34493,2023-07-09,Member,Active,0
186,63583,2023-02-26,Member,Active,0
187,32567,2023-07-26,Member,Active,0
188,65549,2023-07-26,Member,Active,0
189,77606,2023-07-17,Member,Active,0
190,84552,2023-07-10,Member,Active,0
191,30664,2023-06-07,Member,Active,0
192,63840,2023-05-08,Member,Active,0
193,31324,2023-02-03,Member,Active,0
194,63666,2023-07-28,Member,Active,0
195,16782,2023-04-19,Member,Active,0
196,25773,2023-06-13,Member,Active,0
197,33303,2023-09-22,Member,Active,0
198,15350,2023-03-20,Member,Active,0
199,7045,2023-01-17,Member,Active,0
200,9650,2023-06-04,Member,Active,0
201,80098,2023-02-09,Member,Active,0
202,7718,2023-02-13,Member,Active,0
203,13098,2023-11-19,Member,Active,0
204,58530,2023-04-30,Member,Active,0
205,74883,2023-10-31,Member,Active,0
206,7797,2023-07-16,Member,Active,0
207,73349,2023-02-08,Member,Active,0
208,98878,2023-11-07,Member,Active,0
209,17003,2023-05-15,Member,Active,0
210,86986,2023-08-25,Member,Active,0
211,1187,2023-09-17,Member,Active,0
212,84707,2023-05-26,Member,Active,0
213,80501,2023-06-11,Member,Active,0
214,92959,2023-03-08,Member,Active,0
215,89599,2023-12-30,Member,Active,0
216,93587,2023-04-07,Member,Active,0
217,86867,2023-11-01,Member,Active,0
218,78860,2023-01-11,Member,Active,0
219,76305,2023-09-19,Member,Active,0
220,4080,2023-07-27,Member,Active,0
221,90869,2023-05-09,Member,Active,0
222,92938,2023-01-18,Member,Active,0
223,71630,2023-11-28,Member,Active,0
224,85899,2023-05-21,Member,Active,0
225,75442,2023-08-05,Member,Active,0
226,11204,2023-04-20,Member,Active,0
227,8129,2023-06-11,Member,Active,0
228,58499,2023-04-01,Member,Active,0
229,42937,2023-04-06,Member,Active,0
230,58339,2023-05-03,Member,Active,0
231,81654,2023-10-25,Member,Active,0
232,1583,2023-08-10,Member,Active,0
233,59312,2023-01-28,Member,Active,0
234,48160,2023-07-14,Member,Active,0
235,37769,2023-04-12,Member,Active,0
236,46454,2023-06-21,Member,Active,0
237,63674,2023-06-01,Member,Active,0
238,7879,2023-12-30,Member,Active,0
239,46214,2023-08-12,Member,Active,0
240,45793,2023-11-04,Member,Active,0
241,47437,2023-09-01,Member,Active,0
242,86289,2023-07-08,Member,Active,0
243,32208,2023-09-26,Member,Active,0
244,19244,2023-06-20,Member,Active,0
245,73849,2023-03-08,Member,Active,0
246,60618,2023-05-02,Member,Active,0
247,37324,2023-09-11,Member,Active,0
248,43688,2023-09-10,Member,Active,0
249,16952,2023-09-14,Member,Active,0
250,50203,2023-02-05,Member,Active,0
251,33844,2023-02-15,Member,Active,0
252,35918,2023-10-26,Member,Active,0
253,15961,2023-12-01,Member,Active,0
254,90782,2023-11-06,Member,Active,0
255,45495,2023-12-21,Member,Active,0
256,73799,2023-06-08,Member,Active,0
257,40157,2023-08-02,Member,Active,0
258,38,2023-02-02,Member,Active,0
259,68959,2023-04-27,Member,Active,0
260,56400,2023-09-29,Member,Active,0
261,71884,2023-05-07,Member,Active,0
262,29759,2023-07-27,Member,Active,0
263,51475,2023-05-12,Member,Active,0
264,88484,2023-09-29,Member,Active,0
265,35341,2023-10-28,Member,Active,0
266,37839,2023-09-02,Member,Active,0
267,51310,2023-09-18,Member,Active,0
268,66602,2023-12-31,Member,Active,0
269,74172,2023-01-24,Member,Active,0
270,11266,2023-08-16,Member,Active,0
271,28915,2023-09-30,Member,Active,0
272,88504,2023-02-18,Member,Active,0
273,9671,2023-11-02,Member,Active,0
274,91781,2023-11-12,Member,Active,0
275,96635,2023-09-05,Member,Active,0
276,47326,2023-03-24,Member,Active,0
277,45230,2023-02-28,Member,Active,0
278,76207,2023-02-15,Member,Active,0
279,21308,2023-03-22,Member,Active,0
280,76145,2023-01-03,Member,Active,0
281,23433,2023-09-12,Member,Active,0
282,45253,2023-11-16,Member,Active,0
283,10599,2023-07-02,Member,Active,0
284,15072,2023-12-16,Member,Active,0
285,36893,2023-07-27,Member,Active,0
286,17500,2023-06-05,Member,Active,0
287,74190,2023-10-24,Member,Active,0
288,84710,2023-09-02,Member,Active,0
289,40487,2023-11-04,Member,Active,0
290,83421,2023-01-11,Member,Active,0
291,83517,2023-09-11,Member,Active,0
292,1331,2023-09-20,Member,Active,0
293,80181,2023-06-28,Member,Active,0
294,32693,2023-08-08,Member,Active,0
295,33382,2023-04-11,Member,Active,0
296,51860,2023-09-10,Member,Active,0
297,12711,2023-02-20,Member,Active,0
298,74611,2023-12-27,Member,Active,0
299,29392,2023-05-31,Member,Active,0
300,14747,2023-03-26,Member,Active,0
301,44240,2023-02-20,Member,Active,0
302,53071,2023-12-19,Member,Active,0
303,28576,2023-09-14,Member,Active,0
304,77568,2023-12-20,Member,Active,0
305,80285,2023-07-23,Member,Active,0
306,36173,2023-06-17,Member,Active,0
307,63265,2023-06-12,Member,Active,0
308,48817,2023-06-11,Member,Active,0
309,26147,2023-02-06,Member,Active,0
310,12074,2023-06-20,Member,Active,0
311,4742,2023-11-01,Member,Active,0
312,18379,2023-05-01,Member,Active,0
313,63146,2023-05-03,Member,Active,0
314,22935,2023-12-30,Member,Active,0
315,78350,2023-03-03,Member,Active,0
316,95111,2023-01-29,Member,Active,0
317,53663,2023-05-16,Member,Active,0
318,12682,2023-12-25,Member,Active,0
319,57265,2023-06-01,Member,Active,0
320,62034,2023-08-06,Member,Active,0
321,76123,2023-06-17,Member,Active,0
322,35353,2023-03-14,Member,Active,0
323,34038,2023-02-18,Member,Active,0
324,46000,2023-05-30,Member,Active,0
325,80232,2023-12-27,Member,Active,0
326,45875,2023-08-21,Member,Active,0
327,67274,2023-05-30,Member,Active,0
328,52492,2023-03-26,Member,Active,0
329,17877,2023-08-18,Member,Active,0
330,70725,2023-08-29,Member,Active,0
331,53361,2023-05-15,Member,Active,0
332,69960,2023-06-10,Member,Active,0
333,64035,2023-05-09,Member,Active,0
334,69946,2023-06-12,Member,Active,0
335,51724,2023-09-01,Member,Active,0
336,97279,2023-04-07,Member,Active,0
337,37269,2023-11-21,Member,Active,0
338,61524,2023-07-12,Member,Active,0
339,49638,2023-09-15,Member,Active,0
340,87221,2023-06-08,Member,Active,0
341,52344,2023-10-12,Member,Active,0
342,3704,2023-06-22,Member,Active,0
343,1911,2023-10-11,Member,Active,0
344,36908,2023-11-01,Member,Active,0
345,60343,2023-05-14,Member,Active,0
346,17526,2023-03-11,Member,Active,0
347,63563,2023-04-17,Member,Active,0
348,34903,2023-09-13,Member,Active,0
349,92428,2023-06-29,Member,Active,0
350,82712,2023-08-05,Member,Active,0
351,41148,2023-01-01,Member,Active,0
352,80113,2023-07-31,Member,Active,0
353,5442,2023-08-06,Member,Active,0
354,77328,2023-03-11,Member,Active,0
355,60861,2023-04-08,Member,Active,0
356,44786,2023-04-05,Member,Active,0
357,47206,2023-05-16,Member,Active,0
358,15828,2023-08-25,Member,Active,0
359,9440,2023-06-05,Member,Active,0
360,29432,2023-06-03,Member,Active,0
361,45455,2023-09-03,Member,Active,0
362,59151,2023-03-15,Member,Active,0
363,89483,2023-05-29,Member,Active,0
364,12298,2023-10-02,Member,Active,0
365,95846,2023-11-19,Member,Active,0
366,17888,2023-02-10,Member,Active,0
367,69759,2023-01-27,Member,Active,0
368,60728,2023-08-07,Member,Active,0
369,26103,2023-12-23,Member,Active,0
370,31575,2023-09-26,Member,Active,0
371,56565,2023-03-04,Member,Active,0
372,67139,2023-11-19,Member,Active,0
373,9033,2023-12-02,Member,Active,0
374,68122,2023-08-10,Member,Active,0
375,5867,2023-02-15,Member,Active,0
376,8979,2023-03-20,Member,Active,0
377,65194,2023-03-14,Member,Active,0
378,92601,2023-04-06,Member,Active,0
379,23876,2023-11-09,Member,Active,0
380,20386,2023-08-24,Member,Active,0
381,98534,2023-04-26,Member,Active,0
382,4671,2023-09-27,Member,Active,0
383,76852,2023-07-21,Member,Active,0
384,37672,2023-02-11,Member,Active,0
385,86620,2023-01-04,Member,Active,0
386,5952,2023-11-20,Member,Active,0
387,62622,2023-03-02,Member,Active,0
388,47290,2023-08-10,Member,Active,0
389,8833,2023-05-01,Member,Active,0
390,20144,2023-01-15,Member,Active,0
391,72805,2023-11-11,Member,Active,0
392,29790,2023-05-19,Member,Active,0
393,20383,2023-06-04,Member,Active,0
394,39857,2023-11-28,Member,Active,0
395,76815,2023-08-09,Member,Active,0
396,78907,2023-01-07,Member,Active,0
397,39387,2023-04-23,Member,Active,0
398,83185,2023-05-30,Member,Active,0
399,72039,2023-04-25,Member,Active,0
400,56589,2023-01-04,Member,Active,0
401,73486,2023-02-18,Member,Active,0
402,64310,2023-06-12,Member,Active,0
403,95782,2023-10-21,Member,Active,0
404,79607,2023-04-19,Member,Active,0
405,56732,2023-08-07,Member,Active,0
406,19393,2023-12-27,Member,Active,0
407,96409,2023-04-14,Member,Active,0
408,97902,2023-12-12,Member,Active,0
409,81930,2023-10-17,Member,Active,0
410,58562,2023-04-19,Member,Active,0
411,82374,2023-05-17,Member,Active,0
412,9156,2023-04-07,Member,Active,0
413,41773,2023-12-05,Member,Active,0
414,40601,2023-05-13,Member,Active,0
415,58450,2023-09-27,Member,Active,0
416,8316,2023-06-05,Member,Active,0
417,24174,2023-04-20,Member,Active,0
418,27907,2023-10-18,Member,Active,0
419,52651,2023-03-14,Member,Active,0
420,48526,2023-09-09,Member,Active,0
421,62372,2023-04-04,Member,Active,0
422,35260,2023-12-18,Member,Active,0
423,64531,2023-11-25,Member,Active,0
424,17086,2023-09-13,Member,Active,0
425,77024,2023-11-11,Member,Active,0
426,89630,2023-10-27,Member,Active,0
427,59381,2023-11-04,Member,Active,0
428,36843,2023-12-11,Member,Active,0
429,37343,2023-08-01,Member,Active,0
430,77611,2023-06-03,Member,Active,0
431,44067,2023-07-04,Member,Active,0
432,86687,2023-03-23,Member,Active,0
433,43437,2023-06-02,Member,Active,0
434,73993,2023-11-27,Member,Active,0
435,24368,2023-10-05,Member,Active,0
436,25358,2023-10-01,Member,Active,0
437,81812,2023-11-01,Member,Active,0
438,54628,2023-08-14,Member,Active,0
439,40562,2023-05-08,Member,Active,0
440,43628,2023-08-30,Member,Active,0
441,72356,2023-11-26,Member,Active,0
442,76582,2023-08-11,Member,Active,0
443,30875,2023-05-23,Member,Active,0
444,30375,2023-05-08,Member,Active,0
445,14420,2023-12-13,Member,Active,0
446,4665,2023-05-25,Member,Active,0
447,67935,2023-04-25,Member,Active,0
448,892,2023-09-02,Member,Active,0
449,45557,2023-02-19,Member,Active,0
450,95811,2023-06-15,Member,Active,0
451,35726,2023-08-22,Member,Active,0
452,30938,2023-04-04,Member,Active,0
453,40647,2023-08-31,Member,Active,0
454,45724,2023-10-17,Member,Active,0
455,30282,2023-09-16,Member,Active,0
456,42672,2023-10-23,Member,Active,0
457,1521,2023-05-11,Member,Active,0
458,39512,2023-04-13,Member,Active,0
459,20380,2023-02-21,Member,Active,0
460,6533,2023-02-01,Member,Active,0
461,76007,2023-02-18,Member,Active,0
462,16997,2023-12-14,Member,Active,0
463,37080,2023-06-01,Member,Active,0
464,2240,2023-09-22,Member,Active,0
465,74317,2023-06-17,Member,Active,0
466,74243,2023-03-06,Member,Active,0
467,15115,2023-04-21,Member,Active,0
468,55440,2023-05-26,Member,Active,0
469,54552,2023-01-09,Member,Active,0
470,22428,2023-11-28,Member,Active,0
471,91784,2023-06-07,Member,Active,0
472,85105,2023-05-02,Member,Active,0
473,53669,2023-03-23,Member,Active,0
474,50338,2023-11-24,Member,Active,0
475,14014,2023-11-27,Member,Active,0
476,1221,2023-03-01,Member,Active,0
477,33141,2023-12-03,Member,Active,0
478,3954,2023-12-21,Member,Active,0
479,88170,2023-08-22,Member,Active,0
480,8882,2023-08-03,Member,Active,0
481,93014,2023-05-27,Member,Active,0
482,24841,2023-10-17,Member,Active,0
483,71174,2023-09-29,Member,Active,0
484,97960,2023-05-25,Member,Active,0
485,91514,2023-10-13,Member,Active,0
486,72666,2023-09-27,Member,Active,0
487,75680,2023-09-16,Member,Active,0
488,23646,2023-01-26,Member,Active,0
489,85064,2023-01-08,Member,Active,0
490,97704,2023-07-02,Member,Active,0
491,88095,2023-08-16,Member,Active,0
492,44118,2023-09-18,Member,Active,0
493,93640,2023-07-18,Member,Active,0
494,38506,2023-07-17,Member,Active,0
495,66656,2023-11-16,Member,Active,0
496,3604,2023-07-24,Member,Active,0
497,16322,2023-08-28,Member,Active,0
498,79657,2023-05-11,Member,Active,0
499,97706,2023-07-15,Member,Active,0
500,89159,2023-12-26,Member,Active,0
501,11565,2023-02-14,Member,Active,0
502,88841,2023-04-25,Member,Active,0
503,58282,2023-12-22,Member,Active,0
504,1427,2023-10-16,Member,Active,0
505,90478,2023-09-13,Member,Active,0
506,46222,2023-09-24,Member,Active,0
507,97117,2023-07-07,Member,Active,0
508,18973,2023-11-02,Member,Active,0
509,27776,2023-12-08,Member,Active,0
510,97653,2023-03-02,Member,Active,0
511,27383,2023-10-02,Member,Active,0
512,4583,2023-06-27,Member,Active,0
513,85978,2023-12-15,Member,Active,0
514,20221,2023-12-01,Member,Active,0
515,67782,2023-12-21,Member,Active,0
516,94063,2023-02-12,Member,Active,0
517,98026,2023-12-12,Member,Active,0
518,49515,2023-12-29,Member,Active,0
519,83813,2023-04-17,Member,Active,0
520,22101,2023-10-28,Member,Active,0
521,69136,2023-05-12,Member,Active,0
522,1638,2023-08-31,Member,Active,0
523,13540,2023-06-20,Member,Active,0
524,28043,2023-03-23,Member,Active,0
525,27861,2023-10-29,Member,Active,0
526,56313,2023-08-07,Member,Active,0
527,31154,2023-06-02,Member,Active,0
528,84146,2023-05-08,Member,Active,0
529,58275,2023-05-24,Member,Active,0
530,10436,2023-02-06,Member,Active,0
531,15944,2023-09-24,Member,Active,0
532,41417,2023-10-23,Member,Active,0
533,96349,2023-12-20,Member,Active,0
534,92007,2023-11-18,Member,Active,0
535,85832,2023-05-21,Member,Active,0
536,2274,2023-01-27,Member,Active,0
537,43680,2023-11-17,Member,Active,0
538,89704,2023-05-05,Member,Active,0
539,32902,2023-08-17,Member,Active,0
540,82926,2023-04-13,Member,Active,0
541,88122,2023-03-24,Member,Active,0
542,39920,2023-06-30,Member,Active,0
543,9864,2023-05-05,Member,Active,0
544,32381,2023-06-18,Member,Active,0
545,89699,2023-02-24,Member,Active,0
546,71056,2023-10-25,Member,Active,0
547,96076,2023-04-08,Member,Active,0
548,82483,2023-09-12,Member,Active,0
549,74394,2023-02-24,Member,Active,0
550,75117,2023-03-16,Member,Active,0
551,15038,2023-06-08,Member,Active,0
552,68918,2023-05-24,Member,Active,0
553,4925,2023-08-15,Member,Active,0
554,82475,2023-12-04,Member,Active,0
555,77832,2023-03-08,Member,Active,0
556,27713,2023-01-25,Member,Active,0
557,91893,2023-12-25,Member,Active,0
558,70333,2023-06-02,Member,Active,0
559,43595,2023-02-20,Member,Active,0
560,46687,2023-12-08,Member,Active,0
561,9876,2023-12-30,Member,Active,0
562,15627,2023-07-10,Member,Active,0
563,77066,2023-08-13,Member,Active,0
564,437,2023-12-04,Member,Active,0
565,77510,2023-01-21,Member,Active,0
566,81278,2023-03-13,Member,Active,0
567,44661,2023-09-10,Member,Active,0
568,41469,2023-10-18,Member,Active,0
569,27586,2023-03-08,Member,Active,0
570,42031,2023-11-19,Member,Active,0
571,83518,2023-07-24,Member,Active,0
572,574,2023-10-12,Member,Active,0
573,95474,2023-08-10,Member,Active,0
574,10177,2023-11-27,Member,Active,0
575,23493,2023-11-05,Member,Active,0
576,64881,2023-03-21,Member,Active,0
577,46151,2023-02-26,Member,Active,0
578,14038,2023-12-02,Member,Active,0
579,45259,2023-07-06,Member,Active,0
580,23651,2023-05-22,Member,Active,0
581,19406,2023-08-03,Member,Active,0
582,1762,2023-11-15,Member,Active,0
583,73329,2023-08-14,Member,Active,0
584,635,2023-12-02,Member,Active,0
585,55961,2023-10-13,Member,Active,0
586,1959,2023-08-26,Member,Active,0
587,67334,2023-12-29,Member,Active,0
588,85975,2023-03-16,Member,Active,0
589,8467,2023-11-22,Member,Active,0
590,87550,2023-06-11,Member,Active,0
591,18012,2023-04-21,Member,Active,0
592,58509,2023-08-23,Member,Active,0
593,70505,2023-02-15,Member,Active,0
594,24270,2023-10-19,Member,Active,0
595,54687,2023-05-24,Member,Active,0
596,5998,2023-10-05,Member,Active,0
597,47549,2023-02-11,Member,Active,0
598,13,2023-07-22,Member,Active,0
599,20577,2023-07-03,Member,Active,0
600,396,2023-05-25,Member,Active,0
601,16352,2023-12-27,Member,Active,0
602,7059,2023-02-28,Member,Active,0
603,39034,2023-07-21,Member,Active,0
604,1276,2023-06-10,Member,Active,0
605,26371,2023-10-12,Member,Active,0
606,2764,2023-07-22,Member,Active,0
607,54067,2023-11-20,Member,Active,0
608,31309,2023-12-04,Member,Active,0
609,1094,2023-09-13,Member,Active,0
610,23427,2023-07-19,Member,Active,0
611,48641,2023-02-26,Member,Active,0
612,27287,2023-05-17,Member,Active,0
613,33198,2023-03-22,Member,Active,0
614,19334,2023-06-19,Member,Active,0
615,11097,2023-07-04,Member,Active,0
616,68463,2023-12-09,Member,Active,0
617,72950,2023-05-08,Member,Active,0
618,34901,2023-05-07,Member,Active,0
619,46146,2023-09-01,Member,Active,0
620,57754,2023-04-27,Member,Active,0
621,33557,2023-04-20,Member,Active,0
622,7076,2023-01-26,Member,Active,0
623,53702,2023-08-22,Member,Active,0
624,13509,2023-07-25,Member,Active,0
625,43873,2023-10-20,Member,Active,0
626,88774,2023-08-29,Member,Active,0
627,35808,2023-07-26,Member,Active,0
628,93833,2023-04-23,Member,Active,0
629,68685,2023-05-05,Member,Active,0
630,39192,2023-05-19,Member,Active,0
631,82697,2023-10-13,Member,Active,0
632,84352,2023-09-13,Member,Active,0
633,54235,2023-08-01,Member,Active,0
634,35043,2023-05-11,Member,Active,0
635,30315,2023-10-15,Member,Active,0
636,74695,2023-06-03,Member,Active,0
637,97363,2023-02-18,Member,Active,0
638,31371,2023-07-06,Member,Active,0
639,72146,2023-08-31,Member,Active,0
640,12963,2023-04-11,Member,Active,0
641,72573,2023-07-27,Member,Active,0
642,26517,2023-06-09,Member,Active,0
643,20328,2023-05-04,Member,Active,0
644,45400,2023-04-23,Member,Active,0
645,55298,2023-03-26,Member,Active,0
646,46503,2023-07-14,Member,Active,0
647,77005,2023-12-07,Member,Active,0
648,88398,2023-09-24,Member,Active,0
649,79233,2023-04-25,Member,Active,0
650,73305,2023-05-29,Member,Active,0
651,99305,2023-12-20,Member,Active,0
652,5603,2023-11-20,Member,Active,0
653,44813,2023-07-06,Member,Active,0
654,8545,2023-07-29,Member,Active,0
655,29734,2023-06-20,Member,Active,0
656,93307,2023-06-05,Member,Active,0
657,52185,2023-03-17,Member,Active,0
658,27145,2023-11-27,Member,Active,0
659,62823,2023-06-13,Member,Active,0
660,52626,2023-10-30,Member,Active,0
661,97475,2023-07-23,Member,Active,0
662,93660,2023-10-07,Member,Active,0
663,77165,2023-03-21,Member,Active,0
664,10553,2023-04-10,Member,Active,0
665,634,2023-02-27,Member,Active,0
666,73078,2023-11-25,Member,Active,0
667,65643,2023-03-26,Member,Active,0
668,26025,2023-04-12,Member,Active,0
669,61010,2023-12-19,Member,Active,0
670,37134,2023-03-29,Member,Active,0
671,86528,2023-04-29,Member,Active,0
672,91228,2023-01-09,Member,Active,0
673,24461,2023-09-06,Member,Active,0
674,63320,2023-12-27,Member,Active,0
675,17108,2023-05-14,Member,Active,0
676,31407,2023-04-27,Member,Active,0
677,9238,2023-08-15,Member,Active,0
678,86983,2023-05-21,Member,Active,0
679,31395,2023-08-14,Member,Active,0
680,19940,2023-12-17,Member,Active,0
681,84829,2023-07-07,Member,Active,0
682,74916,2023-05-07,Member,Active,0
683,59530,2023-11-13,Member,Active,0
684,9880,2023-03-28,Member,Active,0
685,95415,2023-09-25,Member,Active,0
686,51847,2023-01-10,Member,Active,0
687,31193,2023-12-28,Member,Active,0
688,50091,2023-10-24,Member,Active,0
689,34361,2023-07-21,Member,Active,0
690,35103,2023-03-15,Member,Active,0
691,27024,2023-01-19,Member,Active,0
692,37524,2023-11-22,Member,Active,0
693,20831,2023-05-12,Member,Active,0
694,27642,2023-07-19,Member,Active,0
695,68718,2023-08-14,Member,Active,0
